# name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
HATS-21 b,Confirmed,0.332,0.03,0.04,,,,1.123,0.054,0.147,3.5543973,5.8e-06,5.8e-06,0.04676,0.00038,0.00038,0.0,,,85.04,0.65,0.23,,2016.0,2016-07-28,,,,,,,,,,2457109.22538,0.00057,0.00057,,,,,,,0.853,0.014,0.034,,,,41.6,4.3,4.3,1284.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HATS-21,280.183333348,-58.459166683,12.2,,,,,286.0,12.0,24.0,0.3,0.04,0.04,1.08,0.026,0.026,1.021,0.036,0.089,G4V,2.3,1.7,1.7,5695.0,67.0,67.0,,,
KELT-11 b,Confirmed,0.195,0.019,0.019,,,,1.3,0.12,0.18,4.736529,5.9e-05,6.8e-05,0.06229,0.00076,0.00088,0.0,,,85.8,1.8,2.4,,2016.0,2022-09-02,,,,,,,,,,2457440.8323,0.0036,0.0042,2457059.5415,0.0027,0.0027,,,,0.36,0.2,0.13,,,,18.5,1.7,1.7,1712.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,"H2O, Na",KELT-11,161.70833335,-9.399166687,8.0,,,,,98.0,5.0,5.0,0.18,0.075,0.075,1.438,0.052,0.061,2.72,0.17,0.21,G8,,,,5370.0,51.0,51.0,,,HD 93396
TOI-1937 b,Confirmed,2.01,0.17,0.17,,,,1.247,0.062,0.059,0.94667944,4.7e-07,4.7e-07,0.01932,0.00039,0.00039,0.0,,,77.0,0.49,0.49,,2022.0,2022-10-31,,,,,,,,,,2459085.91023,0.00012,0.00012,,,,,,,0.8653,0.086,0.086,,,,386.0,28.0,28.0,2097.0,36.0,36.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,TOI-1937,116.370833343,-52.383333341,13.2,,,,,418.7,1.9,1.9,0.196,0.084,0.084,1.072,0.064,0.059,1.08,0.025,0.025,,3.6,2.3,3.1,5814.0,90.0,90.0,,,
TOI-954 b,Confirmed,0.174,0.017,0.018,,,,0.852,0.062,0.053,3.6849729,2.8e-05,2.8e-05,0.04963,0.0009,0.0009,0.14,0.11,0.18,84.4,0.6,2.5,,2020.0,2020-10-28,276.0,174.0,9.0,,,,,,,2458411.90651,0.00078,0.00084,,,,,,,0.56,0.24,0.04,,,,20.7,2.0,2.0,1526.0,164.0,123.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,,,,TOI-954,61.941666682,-25.2088889,10.3,,,,,235.7,3.0,3.0,0.215,0.051,0.051,1.201,0.066,0.066,1.892,0.077,0.077,,6.14,0.3,0.3,5710.0,49.0,53.0,,,
WASP-126 b,Confirmed,0.2841,,,,,,0.96,0.05,0.1,3.2888,1e-05,1e-05,0.0449,0.0008,0.0008,0.18,0.18,0.0,87.9,1.5,1.5,,2016.0,2022-10-31,,,,,,,,,,2456890.3191,0.0006,0.0006,,,,,,,0.3,0.2,0.2,,,,36.0,5.0,5.0,1480.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,TOI-114 b,,WASP-126,63.37500001,-69.226944457,10.8,,,,,234.0,15.0,15.0,0.17,0.08,0.08,1.12,0.06,0.06,1.27,0.05,0.1,G2,6.4,1.6,1.6,5800.0,100.0,100.0,,,
WASP-131 b,Confirmed,0.27,0.02,0.02,,,,1.22,0.05,0.05,5.322023,5e-06,5e-06,0.0607,0.0009,0.0009,0.0,,,85.0,0.3,0.3,,2016.0,2016-07-11,,,,,,,,,,2456919.8236,0.0004,0.0004,,,,,,,0.73,0.02,0.02,,,,30.5,1.7,1.7,1400.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,WASP-131,210.191666682,-30.583611123,10.1,,,,,250.0,50.0,50.0,0.18,0.08,0.08,1.06,0.06,0.06,1.53,0.05,0.05,G0,4.5,3.5,3.5,6030.0,90.0,90.0,,,
WASP-166 b,Confirmed,0.102,0.004,0.004,,,,0.6155,0.03,0.03,5.44354215,5e-06,5e-06,0.0668,0.004,0.004,0.0,0.0,0.07,87.8,0.6,0.6,,2018.0,2022-07-22,,,,,,,,,,2458524.40869201,0.0003,0.0003,,,,344.5,2.8,2.8,0.213,0.15,0.17,,,,,,,1270.0,20.0,20.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,Na,WASP-166,144.87500001,-20.982500032,9.36,,,,,113.0,1.0,1.0,0.19,0.05,0.05,1.19,0.06,0.06,1.22,0.06,0.06,F9,2.1,0.9,0.9,6050.0,50.0,50.0,,,
WASP-181 b,Confirmed,0.299,0.034,0.034,,,,1.184,0.059,0.071,4.5195064,3.4e-06,3.4e-06,0.05427,0.00069,0.00069,,,,88.38,0.59,0.76,,2019.0,2019-03-15,,,,,,,,,,2457747.66681,0.00035,0.00035,,,,,,,0.34,0.15,0.1,,,,35.7,3.9,3.9,1186.0,26.0,32.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,WASP-181,26.79166667,3.133055571,10.0,,,,,443.0,8.0,8.0,0.09,0.04,0.04,1.04,0.04,0.04,0.965,0.043,0.043,G2,2.5,1.7,1.7,5839.0,70.0,70.0,,,
WASP-193 b,Confirmed,0.139,0.03,0.03,,,,1.464,0.059,0.059,6.2463345,3e-07,3e-07,0.0676,0.0015,0.0015,0.056,0.04,0.07,88.5,0.5,0.8,,2023.0,2023-07-18,,,,,,,,,,,,,,,,,,,0.31,0.1,0.1,,,,14.8,3.0,3.0,1254.0,30.0,30.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,WASP-193,164.350000008,-29.997222253,12.2,,,,,377.72,2.17,2.17,-0.06,0.09,0.09,1.12,0.051,0.051,1.225,0.03,0.033,,6.6,2.4,2.4,6076.0,120.0,120.0,,,
WASP-20 A b,Confirmed,0.313,0.018,0.018,,,,1.459,0.057,0.057,4.8996285,3.4e-06,3.4e-06,0.06003,0.00067,0.00067,0.0,,,85.57,0.022,0.022,,2011.0,2022-10-04,,,,,,,,,,2455715.65562,0.00028,0.00028,,,,8.1,3.6,3.6,,,,,,,,,,1379.0,,,,,,,,,Announced on a professional conference,Primary Transit,,,WASP-20 b,H2O,WASP-20 A,5.16056709618,-23.9357130761,10.68,,,,,210.0,20.0,20.0,-0.009,0.061,0.061,1.202,0.04,0.04,1.392,0.044,0.044,,7.0,2.0,1.0,5950.0,100.0,100.0,,,"CD-24 102, TYC 6413-439-1, 2MASS J00203853-2356086, WASP-20"
